"Source:","/Users/computerman/Documents/NTNU/05_H23/TDT4295/kule-pcb/PCB/PCB.kicad_sch"
"Date:","2023 October 03, Tuesday 15:30:13"
"Tool:","Eeschema 7.0.7"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","166"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"R24, R29, R34","3","4495","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R25, R30, R35","3","8989","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R36, R37","2","100","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R38, R39","2","15","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"SW1, SW2, SW3, SW4","4","SW_Push","SW_Push","button:K12PBK15N","Push button switch, generic, two pins","",""
"U1","1","TPS54325","TPS54325","Package_SO:TSSOP-14-1EP_4.4x5mm_P0.65mm","","",""
"U2","1","TPS54294","TPS54294","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm","","",""
"U3","1","COM-09032","COM-09032","joystick:XDCR_COM-09032","","",""
"U4","1","XC7A100T-FTG256","XC7A100T-FTG256","fpga_real:BGA256C100P16X16_1700X1700X155","Artix 7 T 100 XC7A100T-FTG256","",""
"U5","1","IS62C1024AL-35QLI-TR","IS62C1024AL-35QLI-TR","IS62C1024AL-35QLI-TR:SOIC127P1412X305-32N","","",""
"Y1","1","Crystal_GND24","Crystal_GND24","ECS-3953M-400-BN-TR:OSC_ECS-3953M-400-BN-TR","Four pin crystal, GND on pins 2 and 4","",""
"Y2","1","ECS-3953M-400-BN-TR","ECS-3953M-400-BN-TR","ECS-3953M-400-BN-TR:OSC_ECS-3953M-400-BN-TR","","",""
